Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,133.945,-105.71,180.0,top
C1,113.460001,-110.690002,90.0,top
C10,132.45,-118.470001,90.0,top
C11,134.59,-118.480001,90.0,top
C12,120.015,-128.02,180.0,top
C13,124.78,-118.17,270.0,top
C14,128.37,-58.28,270.0,top
C15,130.25,-55.9,0.0,top
C16,143.810001,-56.100001,180.0,top
C17,140.810001,-56.999999,90.0,top
C18,142.680001,-38.05,90.0,top
C19,129.93,-42.75,270.0,top
C2,119.96,-109.140001,0.0,top
C20,139.939411,-86.740589,225.0,top
C21,138.519411,-64.660589,45.0,top
C22,126.93,-73.25,45.0,top
C23,127.68,-80.75,225.0,top
C24,129.18,-83.160589,135.0,top
C25,148.18,-76.89,315.0,top
C26,131.18,-83.5,135.0,top
C27,119.46,-103.640001,0.0,top
C28,147.68,-79.0,225.0,top
C29,140.18,-65.5,315.0,top
C3,124.96,-107.590001,90.0,top
C30,133.269411,-85.089411,135.0,top
C31,132.43,-86.0,135.0,top
C32,137.41,-87.81,135.0,top
C33,138.14,-87.07,135.0,top
C34,149.395189,-124.629277,90.0,top
C36,149.51,-77.58,225.0,top
C37,122.065697,-78.10311,315.0,top
C38,122.13,-86.7,45.0,top
C39,115.334041,-83.533685,135.0,top
C4,127.46,-107.590001,90.0,top
C40,125.43,-89.25,45.0,top
C5,113.24,-124.39,270.0,top
C6,115.509998,-127.650001,180.0,top
C7,118.23,-120.42,0.0,top
C8,126.67,-118.38,270.0,top
C9,130.33,-118.55,90.0,top
CARD1,115.05,-69.96,270.0,top
CN1,120.68,-43.26,180.0,top
D1,129.73,-97.5,180.0,top
D10,139.625,-131.5,180.0,top
D11,119.18,-55.75,270.0,top
D2,145.13,-97.5,180.0,top
D3,147.374999,-131.450001,0.0,top
D4,129.480002,-44.935001,90.0,top
D5,156.895188,-124.109277,270.0,top
D6,158.73,-100.609999,270.0,top
D7,158.79,-110.722502,90.0,top
D8,158.78,-81.334998,270.0,top
D9,158.82,-94.665,90.0,top
J1,165.14,-58.0,90.0,top
J2,107.74,-95.61,0.0,top
J3,106.68,-105.245,0.0,top
J4,106.68,-111.995,0.0,top
J5,166.15,-131.975,270.0,top
J6,108.48,-120.175,90.0,top
J7,166.53,-48.57,0.0,top
J8,108.4925,-131.085,90.0,top
L1,122.96,-113.14,0.0,top
L2,127.06,-124.95,0.0,top
L3,113.68,-44.75,90.0,top
L4,132.43,-88.25,315.0,top
M1,113.66,-139.16,0.0,top
M2,118.25,-139.16,0.0,top
M3,122.84,-139.16,0.0,top
M4,127.43,-139.16,0.0,top
M5,155.84,-139.16,0.0,top
M6,160.43,-139.16,0.0,top
P1,164.03,-80.36,270.0,top
P2,164.03,-90.76,270.0,top
P3,164.02,-101.15,270.0,top
P4,164.02,-111.55,270.0,top
P5,146.67,-138.0,0.0,top
P6,136.27,-138.0,0.0,top
P7,164.01,-123.01,270.0,top
P8,110.39,-56.1,90.0,top
Q1,155.04,-109.13,0.0,top
Q2,155.409,-88.914,0.0,top
Q3,143.18,-128.78,270.0,top
Q7,141.085,-105.21,180.0,top
R1,159.829999,-63.25,90.0,top
R10,122.17,-72.299999,180.0,top
R11,122.17,-71.1,180.0,top
R12,122.170003,-69.999999,180.0,top
R13,122.170001,-67.799997,180.0,top
R14,128.33,-71.34,135.0,top
R15,144.08,-106.44,270.0,top
R16,149.659999,-131.5,180.0,top
R17,148.68,-74.0,315.0,top
R18,127.7,-44.35,0.0,top
R19,122.41,-104.69,270.0,top
R2,159.93,-67.345,270.0,top
R20,121.21,-103.390001,90.0,top
R21,153.195189,-126.429277,270.0,top
R22,116.43,-57.5,90.0,top
R23,116.43,-53.889999,90.0,top
R24,156.895188,-127.25,90.0,top
R25,158.78,-83.409999,90.0,top
R26,158.73,-102.609999,90.0,top
R27,158.78,-108.790001,90.0,top
R28,150.999,-88.434,180.0,top
R29,153.195189,-124.029277,270.0,top
R3,113.75,-113.74,90.0,top
R30,151.050189,-125.129277,180.0,top
R31,145.75,-125.06,0.0,top
R32,143.77,-124.65,90.0,top
R33,140.42,-124.95,180.0,top
R34,151.399,-89.934,180.0,top
R35,151.33,-108.53,180.0,top
R36,158.739,-92.614,90.0,top
R37,151.949,-86.194,0.0,top
R38,151.399,-91.834,180.0,top
R39,150.83,-110.05,180.0,top
R4,117.140001,-114.640001,180.0,top
R40,151.239999,-111.65,90.0,top
R41,151.99,-106.5,0.0,top
R42,142.13,-124.62,90.0,top
R43,137.62,-131.51,180.0,top
R44,119.18,-57.75,270.0,top
R5,128.24,-117.585,270.0,top
R50,109.18,-106.75,90.0,top
R51,109.18,-113.25,90.0,top
R6,128.24,-119.53,270.0,top
R7,123.14,-118.7,90.0,top
R8,122.125001,-65.599999,180.0,top
R9,122.125001,-64.499999,180.0,top
RF1,108.19,-45.53,180.0,top
SW1,107.63,-80.9,90.0,top
SW2,107.63,-86.9,90.0,top
U1,130.27,-57.92,0.0,top
U10,154.69,-106.42,180.0,top
U11,154.77,-111.85,180.0,top
U12,155.149,-91.594,180.0,top
U13,140.13,-127.62,90.0,top
U2,137.43,-76.0,315.0,top
U3,143.31,-58.39,180.0,top
U4,116.96,-112.14,90.0,top
U5,118.28,-123.82,180.0,top
U6,153.43,-43.0,270.0,top
U7,119.960001,-106.140001,270.0,top
U8,154.63,-86.15,180.0,top
U9,146.25,-127.932498,90.0,top
USB1,164.57,-65.43,90.0,top
X1,118.777651,-80.896179,225.0,top
X2,121.272626,-91.935519,315.0,top
