Designator,Mid X,Mid Y,Rotation,Layer
C1,99.300001,-115.840002,90.0,top
C10,118.29,-123.620001,90.0,top
C11,120.43,-123.630001,90.0,top
C12,105.855,-133.17,180.0,top
C13,110.62,-123.32,270.0,top
C14,114.21,-63.43,270.0,top
C15,116.09,-61.05,0.0,top
C16,129.650001,-61.250001,180.0,top
C17,126.650001,-62.149999,90.0,top
C18,128.520001,-43.2,90.0,top
C19,115.77,-47.9,270.0,top
C2,105.8,-114.290001,0.0,top
C20,125.779411,-91.890589,225.0,top
C21,124.359411,-69.810589,45.0,top
C22,112.77,-78.4,45.0,top
C23,113.52,-85.9,225.0,top
C24,115.02,-88.310589,135.0,top
C25,134.02,-82.04,315.0,top
C26,117.02,-88.65,135.0,top
C27,105.3,-108.790001,0.0,top
C28,133.52,-84.15,225.0,top
C29,126.02,-70.65,315.0,top
C3,110.8,-112.740001,90.0,top
C30,119.109411,-90.239411,135.0,top
C31,118.27,-91.15,135.0,top
C32,123.25,-92.96,135.0,top
C33,123.98,-92.22,135.0,top
C34,135.235189,-129.779277,90.0,top
C36,135.35,-82.73,225.0,top
C37,107.905697,-83.25311,315.0,top
C38,107.97,-91.85,45.0,top
C39,101.174041,-88.683685,135.0,top
C4,113.3,-112.740001,90.0,top
C40,111.27,-94.4,45.0,top
C5,99.08,-129.54,270.0,top
C6,101.349998,-132.800001,180.0,top
C7,104.07,-125.57,0.0,top
C8,112.51,-123.53,270.0,top
C9,116.17,-123.7,90.0,top
CARD1,100.89,-75.11,270.0,top
CN1,106.52,-48.41,180.0,top
D1,115.57,-102.65,180.0,top
D10,125.465,-136.65,180.0,top
D11,105.02,-60.9,270.0,top
D2,130.97,-102.65,180.0,top
D3,133.214999,-136.600001,0.0,top
D4,115.320002,-50.085001,90.0,top
D5,142.735188,-129.259277,270.0,top
D6,144.57,-105.759999,270.0,top
D7,144.63,-115.872502,90.0,top
D8,144.62,-86.484998,270.0,top
D9,144.66,-99.815,90.0,top
J1,150.98,-63.15,90.0,top
J2,93.58,-100.76,0.0,top
J3,92.52,-110.395,0.0,top
J4,92.52,-117.145,0.0,top
J5,151.99,-137.125,270.0,top
J6,94.32,-125.325,90.0,top
J7,152.37,-53.72,0.0,top
J8,94.3325,-136.235,90.0,top
L1,108.8,-118.29,0.0,top
L2,112.9,-130.1,0.0,top
L3,99.52,-49.9,90.0,top
L4,118.27,-93.4,315.0,top
M1,99.5,-144.31,0.0,top
M2,104.09,-144.31,0.0,top
M3,108.68,-144.31,0.0,top
M4,113.27,-144.31,0.0,top
M5,141.68,-144.31,0.0,top
M6,146.27,-144.31,0.0,top
P1,149.87,-85.51,270.0,top
P2,149.87,-95.91,270.0,top
P3,149.86,-106.3,270.0,top
P4,149.86,-116.7,270.0,top
P5,132.51,-143.15,0.0,top
P6,122.11,-143.15,0.0,top
P7,149.85,-128.16,270.0,top
P8,96.23,-61.25,90.0,top
Q1,140.88,-114.28,0.0,top
Q2,141.249,-94.064,0.0,top
Q3,129.02,-133.93,270.0,top
R1,145.669999,-68.4,90.0,top
R10,108.01,-77.449999,180.0,top
R11,108.01,-76.25,180.0,top
R12,108.010003,-75.149999,180.0,top
R13,108.010001,-72.949997,180.0,top
R14,114.17,-76.49,135.0,top
R16,135.499999,-136.65,180.0,top
R17,134.52,-79.15,315.0,top
R18,113.54,-49.5,0.0,top
R19,108.25,-109.84,270.0,top
R2,145.77,-72.495,270.0,top
R20,107.05,-108.540001,90.0,top
R21,139.035189,-131.579277,270.0,top
R22,102.27,-62.65,90.0,top
R23,102.27,-59.039999,90.0,top
R24,142.735188,-132.4,90.0,top
R25,144.62,-88.559999,90.0,top
R26,144.57,-107.759999,90.0,top
R27,144.62,-113.940001,90.0,top
R28,136.839,-93.584,180.0,top
R29,139.035189,-129.179277,270.0,top
R3,99.59,-118.89,90.0,top
R30,136.890189,-130.279277,180.0,top
R31,131.59,-130.21,0.0,top
R32,129.61,-129.8,90.0,top
R33,126.26,-130.1,180.0,top
R34,137.239,-95.084,180.0,top
R35,137.17,-113.68,180.0,top
R36,144.579,-97.764,90.0,top
R37,137.789,-91.344,0.0,top
R38,137.239,-96.984,180.0,top
R39,136.67,-115.2,180.0,top
R4,102.980001,-119.790001,180.0,top
R40,137.079999,-116.8,90.0,top
R41,137.83,-111.65,0.0,top
R42,127.97,-129.77,90.0,top
R43,123.46,-136.66,180.0,top
R44,105.02,-62.9,270.0,top
R5,114.08,-122.735,270.0,top
R50,95.02,-111.9,90.0,top
R51,95.02,-118.4,90.0,top
R6,114.08,-124.68,270.0,top
R7,108.98,-123.85,90.0,top
R8,107.965001,-70.749999,180.0,top
R9,107.965001,-69.649999,180.0,top
RF1,94.03,-50.68,180.0,top
SW1,93.47,-86.05,90.0,top
SW2,93.47,-92.05,90.0,top
U1,116.11,-63.07,0.0,top
U10,140.53,-111.57,180.0,top
U11,140.61,-117.0,180.0,top
U12,140.989,-96.744,180.0,top
U13,125.97,-132.77,90.0,top
U2,123.27,-81.15,315.0,top
U3,129.15,-63.54,180.0,top
U4,102.8,-117.29,90.0,top
U5,104.12,-128.97,180.0,top
U6,139.27,-48.15,270.0,top
U7,105.800001,-111.290001,270.0,top
U8,140.47,-91.3,180.0,top
U9,132.09,-133.082498,90.0,top
USB1,150.41,-70.58,90.0,top
X1,104.617651,-86.046179,225.0,top
X2,107.112626,-97.085519,315.0,top
